t,value
1485941847,0
1485941877,0
1485941907,0
1485941937,0
1485941967,0
1485941997,0
1485942027,0
1485942057,0
1485942087,0
1485942117,0
1485942147,0
1485942177,0
1485942207,0
1485942237,0
1485942267,0
1485942297,0
1485942327,0
1485942357,0
1485942387,0
1485942417,0
1485942447,0
1485942477,0
1485942507,0
1485942537,0
1485942693,0
1485942723,0
1485942753,0
1485942783,0
1485942920,0
1485942950,0
1485942980,0
1485943010,0
1485943040,0
1485943112,0
1485943142,0
1485943172,0
